RedFighter,BlueFighter,Winner,RMatchWCRank,BMatchWCRank,RedWins,RedLosses,BlueWins,BlueLosses,WinDif,LossDif,RedHeight,BlueHeight,RedReach,BlueReach,ReachDif,RedAvgSigStrLanded,RedAvgSigStrPct,BlueAvgSigStrLanded,BlueAvgSigStrPct,SigStrDif,RedStrikingRatio,BlueStrikingRatio,RedOdds,BlueOdds,RKOOdds,BKOOdds,RSubOdds,BSubOdds,RedDecOdds,BlueDecOdds,Favorite
Azamat Murzakanov,Brendson Ribeiro,Red ,12,,14,0,17,7,3,7,70,75,71.5,81,9.5,4.72,0.56,3.34,0.43,-1.38,0.5856079404,0.4143920596,-650,470,,,,,,,Azamat Murzakanov
Serghei Spivac,Waldo Cortes Acosta,Blue ,7,11,17,5,13,1,-4,-4,75,75,78,70,-8,3.49,0.49,5.76,0.49,2.27,0.3772972973,0.6227027027,-166,144,,,,,,,Serghei Spivac
Khaos Williams,Andreas Gustafsson,Blue ,,,15,4,11,2,-4,-2,72,73,77,73.5,-3.5,5.36,0.38,4.56,0.77,-0.8,0.5403225806,0.4596774194,-185,154,140,400,2000,1000,250,550,Khaos Williams
Ariane Da Silva,Wang Cong,Blue ,13,,17,10,7,1,-10,-9,66,66,67,65.5,-1.5,4.04,0.41,6.38,0.52,2.34,0.3877159309,0.6122840691,,,,,,,,,
Jeka Saragih,Joosang Yoo,Blue ,,,14,4,8,0,-6,-4,68,67,69,0,-69,0,0,0,0,0,0,0,,,,,,,,,
Quillan Salkilld,Yanal Ashmouz,Red ,,,8,1,8,1,0,0,72,69,75,69,-6,5.68,0.56,2.94,0.5,-2.74,0.6589327146,0.3410672854,-455,350,450,1000,300,2500,-115,900,Quillan Salkilld
Marquel Mederos,Mark Choinski,Red ,,,10,1,0,0,-10,-1,70,69,69.5,72,2.5,3.75,0.5,0,0,-3.75,1,0,-148,124,,,,,,,Marquel Mederos
Kamaru Usman,Joaquin Buckley,Red ,5,7,20,4,21,6,1,2,72,70,76,76,0,4.36,0.52,4.22,0.37,-0.14,0.5081585082,0.4918414918,225,-278,,,,,,,Joaquin Buckley
Rose Namajunas,Miranda Maverick,Red ,7,11,14,7,17,5,3,-2,65,63,65,65.5,0.5,3.17,0.42,3.39,0.45,0.22,0.4832317073,0.5167682927,-258,210,,,,,,,Rose Namajunas
Edmen Shahbazyan,Andre Petroski,Red ,,,14,5,13,4,-1,-1,74,72,74,72,-2,3.78,0.5,2.89,0.5,-0.89,0.5667166417,0.4332833583,-185,154,,,,,,,Edmen Shahbazyan
Cody Garbrandt,Raoni Barcelos,Blue ,,,14,6,19,5,5,-1,68,67,65.5,67,1.5,2.98,0.4,5.11,0.53,2.13,0.3683559951,0.6316440049,154,-185,,,,,,,Raoni Barcelos
Mansur Abdul-Malik,Cody Brundage,Red ,,,8,0,11,6,3,6,74,72,79.5,72,-7.5,5.29,0.54,2.14,0.54,-3.15,0.7119784657,0.2880215343,-800,550,,,,,,,Mansur Abdul-Malik
Alonzo Menifield,Oumar Sy,Red ,15,,16,5,11,0,-5,-5,72,76,76,83,7,4,0.55,4.81,0.59,0.81,0.4540295119,0.5459704881,500,-700,,,,,,,Oumar Sy
